DCounts,Refs,R
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
673.00,0.895,2
675.00,0.895,2
673.00,0.895,2
670.00,0.895,2
671.00,0.895,2
673.00,0.895,2
666.00,0.895,2
669.00,0.895,2
668.00,0.895,2
670.00,0.895,2
674.00,0.895,2
670.00,0.895,2
671.00,0.895,2
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
674.00,0.895,2
672.00,0.895,2
670.00,0.895,2
672.00,0.895,2
672.00,0.895,2
672.00,0.895,2
675.00,0.895,2
671.00,0.895,2
670.00,0.895,2
667.00,0.895,2
669.00,0.895,2
670.00,0.895,2
669.00,0.895,2
669.00,0.895,2
671.00,0.895,2
673.00,0.895,2
673.00,0.895,2
676.00,0.895,2
672.00,0.895,2
671.00,0.895,2
673.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
669.00,0.895,2
671.00,0.895,2
665.00,0.895,2
669.00,0.895,2
670.00,0.895,2
668.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
669.00,0.895,2
672.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
674.00,0.895,2
671.00,0.895,2
672.00,0.895,2
674.00,0.895,2
670.00,0.895,2
668.00,0.895,2
672.00,0.895,2
665.00,0.895,2
668.00,0.895,2
671.00,0.895,2
670.00,0.895,2
672.00,0.895,2
670.00,0.895,2
673.00,0.895,2
670.00,0.895,2
672.00,0.895,2
672.00,0.895,2
672.00,0.895,2
673.00,0.895,2
673.00,0.895,2
671.00,0.895,2
674.00,0.895,2
675.00,0.895,2
672.00,0.895,2
669.00,0.895,2
672.00,0.895,2
662.00,0.895,2
670.00,0.895,2
668.00,0.895,2
667.00,0.895,2
668.00,0.895,2
672.00,0.895,2
672.00,0.895,2
670.00,0.895,2
673.00,0.895,2
671.00,0.895,2
672.00,0.895,2
674.00,0.895,2
670.00,0.895,2
669.00,0.895,2
673.00,0.895,2
671.00,0.895,2
673.00,0.895,2
670.00,0.895,2
670.00,0.895,2
666.00,0.895,2
667.00,0.895,2
670.00,0.895,2
668.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
674.00,0.895,2
672.00,0.895,2
673.00,0.895,2
670.00,0.895,2
675.00,0.895,2
671.00,0.895,2
670.00,0.895,2
674.00,0.895,2
670.00,0.895,2
673.00,0.895,2
672.00,0.895,2
669.00,0.895,2
666.00,0.895,2
669.00,0.895,2
667.00,0.895,2
670.00,0.895,2
666.00,0.895,2
671.00,0.895,2
672.00,0.895,2
671.00,0.895,2
671.00,0.895,2
676.00,0.895,2
674.00,0.895,2
672.00,0.895,2
672.00,0.895,2
672.00,0.895,2
670.00,0.895,2
669.00,0.895,2
672.00,0.895,2
669.00,0.895,2
671.00,0.895,2
662.00,0.895,2
668.00,0.895,2
671.00,0.895,2
669.00,0.895,2
667.00,0.895,2
670.00,0.895,2
672.00,0.895,2
671.00,0.895,2
668.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
673.00,0.895,2
671.00,0.895,2
673.00,0.895,2
673.00,0.895,2
674.00,0.895,2
672.00,0.895,2
673.00,0.895,2
662.00,0.895,2
670.00,0.895,2
668.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
672.00,0.895,2
672.00,0.895,2
675.00,0.895,2
673.00,0.895,2
672.00,0.895,2
671.00,0.895,2
673.00,0.895,2
671.00,0.895,2
672.00,0.895,2
671.00,0.895,2
670.00,0.895,2
669.00,0.895,2
672.00,0.895,2
667.00,0.895,2
670.00,0.895,2
669.00,0.895,2
668.00,0.895,2
670.00,0.895,2
670.00,0.895,2
669.00,0.895,2
671.00,0.895,2
669.00,0.895,2
668.00,0.895,2
675.00,0.895,2
670.00,0.895,2
670.00,0.895,2
671.00,0.895,2
670.00,0.895,2
672.00,0.895,2
673.00,0.895,2
670.00,0.895,2
666.00,0.895,2
668.00,0.895,2
668.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
670.00,0.895,2
671.00,0.895,2
672.00,0.895,2
670.00,0.895,2
670.00,0.895,2
673.00,0.895,2
670.00,0.895,2
676.00,0.895,2
667.00,0.895,2
675.00,0.895,2
671.00,0.895,2
671.00,0.895,2
672.00,0.895,2
664.00,0.895,2
669.00,0.895,2
669.00,0.895,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
669.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
668.00,0.895,2
670.00,0.895,2
671.00,0.895,2
670.00,0.895,2
671.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
664.00,0.895,2
668.00,0.895,2
666.00,0.895,2
668.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
671.00,0.895,2
671.00,0.895,2
673.00,0.895,2
672.00,0.895,2
669.00,0.895,2
672.00,0.895,2
668.00,0.895,2
671.00,0.895,2
673.00,0.895,2
669.00,0.895,2
670.00,0.895,2
674.00,0.895,2
664.00,0.895,2
666.00,0.895,2
669.00,0.895,2
671.00,0.895,2
671.00,0.895,2
668.00,0.895,2
672.00,0.895,2
670.00,0.895,2
674.00,0.895,2
670.00,0.895,2
669.00,0.895,2
670.00,0.895,2
672.00,0.895,2
670.00,0.895,2
667.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
672.00,0.895,2
662.00,0.895,2
666.00,0.895,2
669.00,0.895,2
673.00,0.895,2
668.00,0.895,2
667.00,0.895,2
671.00,0.895,2
670.00,0.895,2
671.00,0.895,2
670.00,0.895,2
669.00,0.895,2
667.00,0.895,2
672.00,0.895,2
669.00,0.895,2
669.00,0.895,2
672.00,0.895,2
670.00,0.895,2
672.00,0.895,2
670.00,0.895,2
663.00,0.895,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
668.00,0.895,2
670.00,0.895,2
673.00,0.895,2
671.00,0.895,2
669.00,0.895,2
673.00,0.895,2
671.00,0.895,2
671.00,0.895,2
669.00,0.895,2
669.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
673.00,0.895,2
672.00,0.895,2
663.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
668.00,0.895,2
672.00,0.895,2
672.00,0.895,2
669.00,0.895,2
667.00,0.895,2
670.00,0.895,2
673.00,0.895,2
672.00,0.895,2
672.00,0.895,2
671.00,0.895,2
671.00,0.895,2
670.00,0.895,2
670.00,0.895,2
672.00,0.895,2
670.00,0.895,2
662.00,0.895,2
671.00,0.895,2
669.00,0.895,2
667.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
669.00,0.895,2
669.00,0.895,2
671.00,0.895,2
671.00,0.895,2
669.00,0.895,2
671.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
665.00,0.895,2
668.00,0.895,2
669.00,0.895,2
667.00,0.895,2
669.00,0.895,2
668.00,0.895,2
670.00,0.895,2
668.00,0.895,2
669.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
668.00,0.895,2
668.00,0.895,2
671.00,0.895,2
672.00,0.895,2
668.00,0.895,2
673.00,0.895,2
662.00,0.895,2
669.00,0.895,2
668.00,0.895,2
667.00,0.895,2
669.00,0.895,2
671.00,0.895,2
669.00,0.895,2
666.00,0.895,2
671.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
671.00,0.895,2
671.00,0.895,2
675.00,0.895,2
670.00,0.895,2
671.00,0.895,2
670.00,0.895,2
671.00,0.895,2
670.00,0.895,2
669.00,0.895,2
667.00,0.895,2
667.00,0.895,2
670.00,0.895,2
668.00,0.895,2
671.00,0.895,2
669.00,0.895,2
672.00,0.895,2
669.00,0.895,2
670.00,0.895,2
672.00,0.895,2
667.00,0.895,2
669.00,0.895,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
663.00,0.895,2
670.00,0.895,2
671.00,0.895,2
668.00,0.895,2
669.00,0.895,2
668.00,0.895,2
669.00,0.895,2
666.00,0.895,2
669.00,0.895,2
671.00,0.895,2
671.00,0.895,2
671.00,0.895,2
675.00,0.895,2
671.00,0.895,2
668.00,0.895,2
668.00,0.895,2
670.00,0.895,2
672.00,0.895,2
661.00,0.895,2
669.00,0.895,2
669.00,0.895,2
669.00,0.895,2
670.00,0.895,2
668.00,0.895,2
669.00,0.895,2
671.00,0.895,2
667.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
668.00,0.895,2
670.00,0.895,2
669.00,0.895,2
671.00,0.895,2
669.00,0.895,2
672.00,0.895,2
668.00,0.895,2
667.00,0.895,2
671.00,0.895,2
668.00,0.895,2
666.00,0.895,2
669.00,0.895,2
669.00,0.895,2
672.00,0.895,2
670.00,0.895,2
671.00,0.895,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
671.00,0.895,2
671.00,0.895,2
668.00,0.895,2
670.00,0.895,2
671.00,0.895,2
669.00,0.895,2
658.00,0.895,2
667.00,0.895,2
666.00,0.895,2
668.00,0.895,2
668.00,0.895,2
665.00,0.895,2
668.00,0.895,2
666.00,0.895,2
671.00,0.895,2
670.00,0.895,2
667.00,0.895,2
670.00,0.895,2
672.00,0.895,2
670.00,0.895,2
668.00,0.895,2
671.00,0.895,2
667.00,0.895,2
669.00,0.895,2
667.00,0.895,2
666.00,0.895,2
671.00,0.895,2
666.00,0.895,2
671.00,0.895,2
668.00,0.895,2
668.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
673.00,0.895,2
670.00,0.895,2
672.00,0.895,2
671.00,0.895,2
672.00,0.895,2
669.00,0.895,2
667.00,0.895,2
661.00,0.895,2
667.00,0.895,2
666.00,0.895,2
665.00,0.895,2
671.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
670.00,0.895,2
669.00,0.895,2
667.00,0.895,2
667.00,0.895,2
668.00,0.895,2
669.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
670.00,0.895,2
669.00,0.895,2
671.00,0.895,2
669.00,0.895,2
667.00,0.895,2
668.00,0.895,2
670.00,0.895,2
671.00,0.895,2
668.00,0.895,2
668.00,0.895,2
671.00,0.895,2
674.00,0.895,2
666.00,0.895,2
669.00,0.895,2
671.00,0.895,2
670.00,0.895,2
668.00,0.895,2
671.00,0.895,2
669.00,0.895,2
668.00,0.895,2
668.00,0.895,2
668.00,0.895,2
665.00,0.895,2
669.00,0.895,2
670.00,0.895,2
670.00,0.895,2
670.00,0.895,2
667.00,0.895,2
671.00,0.895,2
668.00,0.895,2
667.00,0.895,2
668.00,0.895,2
669.00,0.895,2
670.00,0.895,2
668.00,0.895,2
668.00,0.895,2
669.00,0.895,2
666.00,0.895,2
668.00,0.895,2
668.00,0.895,2
669.00,0.895,2
667.00,0.895,2
671.00,0.895,2
669.00,0.895,2
669.00,0.895,2
668.00,0.895,2
668.00,0.895,2
491.00,0.0887,2
459.00,0.0887,2
458.00,0.0887,2
461.00,0.0887,2
459.00,0.0887,2
461.00,0.0887,2
462.00,0.0887,2
462.00,0.0887,2
462.00,0.0887,2
465.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
472.00,0.0887,2
459.00,0.0887,2
459.00,0.0887,2
462.00,0.0887,2
462.00,0.0887,2
461.00,0.0887,2
464.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
460.00,0.0887,2
468.00,0.0887,2
468.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
466.00,0.0887,2
477.00,0.0887,2
458.00,0.0887,2
461.00,0.0887,2
461.00,0.0887,2
460.00,0.0887,2
463.00,0.0887,2
463.00,0.0887,2
463.00,0.0887,2
461.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
463.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
476.00,0.0887,2
462.00,0.0887,2
461.00,0.0887,2
460.00,0.0887,2
462.00,0.0887,2
463.00,0.0887,2
466.00,0.0887,2
461.00,0.0887,2
462.00,0.0887,2
463.00,0.0887,2
462.00,0.0887,2
465.00,0.0887,2
465.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
464.00,0.0887,2
470.00,0.0887,2
475.00,0.0887,2
459.00,0.0887,2
461.00,0.0887,2
464.00,0.0887,2
462.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
478.00,0.0887,2
460.00,0.0887,2
463.00,0.0887,2
462.00,0.0887,2
461.00,0.0887,2
466.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
464.00,0.0887,2
464.00,0.0887,2
468.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
464.00,0.0887,2
460.00,0.0887,2
459.00,0.0887,2
461.00,0.0887,2
463.00,0.0887,2
464.00,0.0887,2
461.00,0.0887,2
463.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
465.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
465.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
479.00,0.0887,2
461.00,0.0887,2
464.00,0.0887,2
464.00,0.0887,2
464.00,0.0887,2
460.00,0.0887,2
463.00,0.0887,2
469.00,0.0887,2
465.00,0.0887,2
466.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
473.00,0.0887,2
461.00,0.0887,2
461.00,0.0887,2
463.00,0.0887,2
461.00,0.0887,2
464.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
469.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
471.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
460.00,0.0887,2
463.00,0.0887,2
465.00,0.0887,2
463.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
469.00,0.0887,2
465.00,0.0887,2
466.00,0.0887,2
466.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
473.00,0.0887,2
469.00,0.0887,2
477.00,0.0887,2
460.00,0.0887,2
461.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
472.00,0.0887,2
468.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
467.00,0.0887,2
477.00,0.0887,2
463.00,0.0887,2
463.00,0.0887,2
462.00,0.0887,2
465.00,0.0887,2
463.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
466.00,0.0887,2
464.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
471.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
478.00,0.0887,2
464.00,0.0887,2
462.00,0.0887,2
462.00,0.0887,2
461.00,0.0887,2
462.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
467.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
471.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
468.00,0.0887,2
475.00,0.0887,2
462.00,0.0887,2
466.00,0.0887,2
463.00,0.0887,2
463.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
469.00,0.0887,2
476.00,0.0887,2
461.00,0.0887,2
464.00,0.0887,2
462.00,0.0887,2
464.00,0.0887,2
469.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
469.00,0.0887,2
466.00,0.0887,2
470.00,0.0887,2
468.00,0.0887,2
473.00,0.0887,2
474.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
475.00,0.0887,2
463.00,0.0887,2
461.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
463.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
473.00,0.0887,2
472.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
462.00,0.0887,2
462.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
466.00,0.0887,2
464.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
468.00,0.0887,2
468.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
472.00,0.0887,2
462.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
471.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
469.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
472.00,0.0887,2
473.00,0.0887,2
479.00,0.0887,2
462.00,0.0887,2
464.00,0.0887,2
463.00,0.0887,2
464.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
471.00,0.0887,2
470.00,0.0887,2
468.00,0.0887,2
468.00,0.0887,2
473.00,0.0887,2
473.00,0.0887,2
471.00,0.0887,2
468.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
472.00,0.0887,2
471.00,0.0887,2
473.00,0.0887,2
470.00,0.0887,2
473.00,0.0887,2
474.00,0.0887,2
476.00,0.0887,2
464.00,0.0887,2
462.00,0.0887,2
467.00,0.0887,2
464.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
471.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
472.00,0.0887,2
473.00,0.0887,2
476.00,0.0887,2
471.00,0.0887,2
466.00,0.0887,2
464.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
475.00,0.0887,2
472.00,0.0887,2
473.00,0.0887,2
475.00,0.0887,2
463.00,0.0887,2
464.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
472.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
474.00,0.0887,2
472.00,0.0887,2
471.00,0.0887,2
474.00,0.0887,2
475.00,0.0887,2
464.00,0.0887,2
461.00,0.0887,2
466.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
465.00,0.0887,2
472.00,0.0887,2
466.00,0.0887,2
473.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
471.00,0.0887,2
474.00,0.0887,2
473.00,0.0887,2
471.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
468.00,0.0887,2
474.00,0.0887,2
472.00,0.0887,2
473.00,0.0887,2
472.00,0.0887,2
474.00,0.0887,2
475.00,0.0887,2
471.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
464.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
467.00,0.0887,2
473.00,0.0887,2
469.00,0.0887,2
470.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
473.00,0.0887,2
475.00,0.0887,2
471.00,0.0887,2
469.00,0.0887,2
476.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
466.00,0.0887,2
471.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
474.00,0.0887,2
474.00,0.0887,2
474.00,0.0887,2
471.00,0.0887,2
475.00,0.0887,2
477.00,0.0887,2
474.00,0.0887,2
464.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
472.00,0.0887,2
472.00,0.0887,2
474.00,0.0887,2
470.00,0.0887,2
474.00,0.0887,2
476.00,0.0887,2
474.00,0.0887,2
473.00,0.0887,2
473.00,0.0887,2
475.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
466.00,0.0887,2
465.00,0.0887,2
470.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
474.00,0.0887,2
476.00,0.0887,2
470.00,0.0887,2
471.00,0.0887,2
476.00,0.0887,2
473.00,0.0887,2
471.00,0.0887,2
466.00,0.0887,2
467.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
469.00,0.0887,2
468.00,0.0887,2
473.00,0.0887,2
472.00,0.0887,2
469.00,0.0887,2
476.00,0.0887,2
474.00,0.0887,2
470.00,0.0887,2
474.00,0.0887,2
476.00,0.0887,2
473.00,0.0887,2
472.00,0.0887,2
474.00,0.0887,2
465.00,0.0887,2
468.00,0.0887,2
466.00,0.0887,2
468.00,0.0887,2
471.00,0.0887,2
470.00,0.0887,2
473.00,0.0887,2
475.00,0.0887,2
474.00,0.0887,2
476.00,0.0887,2
470.00,0.0887,2
473.00,0.0887,2
477.00,0.0887,2
477.00,0.0887,2
474.00,0.0887,2
470.00,0.0887,2
469.00,0.0887,2
467.00,0.0887,2
467.00,0.0887,2
468.00,0.0887,2
468.00,0.0887,2
474.00,0.0887,2
469.00,0.0887,2
469.00,0.0887,2
473.00,0.0887,2
475.00,0.0887,2
475.00,0.0887,2
475.00,0.0887,2
475.00,0.0887,2
477.00,0.0887,2
475.00,0.0887,2
472.00,0.0887,2
465.00,0.0887,2
469.00,0.0887,2
467.00,0.0887,2
470.00,0.0887,2
470.00,0.0887,2
474.00,0.0887,2
475.00,0.0887,2
471.00,0.0887,2
472.00,0.0887,2
471.00,0.0887,2
491.00,0.1112,2
495.00,0.1112,2
495.00,0.1112,2
497.00,0.1112,2
500.00,0.1112,2
496.00,0.1112,2
487.00,0.1112,2
488.00,0.1112,2
487.00,0.1112,2
489.00,0.1112,2
489.00,0.1112,2
492.00,0.1112,2
495.00,0.1112,2
496.00,0.1112,2
496.00,0.1112,2
495.00,0.1112,2
492.00,0.1112,2
499.00,0.1112,2
492.00,0.1112,2
496.00,0.1112,2
494.00,0.1112,2
487.00,0.1112,2
488.00,0.1112,2
489.00,0.1112,2
489.00,0.1112,2
490.00,0.1112,2
492.00,0.1112,2
494.00,0.1112,2
495.00,0.1112,2
493.00,0.1112,2
493.00,0.1112,2
500.00,0.1112,2
495.00,0.1112,2
498.00,0.1112,2
499.00,0.1112,2
498.00,0.1112,2
495.00,0.1112,2
491.00,0.1112,2
492.00,0.1112,2
491.00,0.1112,2
495.00,0.1112,2
494.00,0.1112,2
491.00,0.1112,2
492.00,0.1112,2
494.00,0.1112,2
496.00,0.1112,2
498.00,0.1112,2
498.00,0.1112,2
497.00,0.1112,2
500.00,0.1112,2
500.00,0.1112,2
494.00,0.1112,2
497.00,0.1112,2
491.00,0.1112,2
491.00,0.1112,2
491.00,0.1112,2
488.00,0.1112,2
494.00,0.1112,2
497.00,0.1112,2
494.00,0.1112,2
491.00,0.1112,2
499.00,0.1112,2
499.00,0.1112,2
498.00,0.1112,2
494.00,0.1112,2
501.00,0.1112,2
498.00,0.1112,2
496.00,0.1112,2
492.00,0.1112,2
494.00,0.1112,2
488.00,0.1112,2
492.00,0.1112,2
490.00,0.1112,2
495.00,0.1112,2
495.00,0.1112,2
496.00,0.1112,2
494.00,0.1112,2
492.00,0.1112,2
498.00,0.1112,2
496.00,0.1112,2
497.00,0.1112,2
495.00,0.1112,2
498.00,0.1112,2
498.00,0.1112,2
495.00,0.1112,2
500.00,0.1112,2
500.00,0.1112,2
491.00,0.1112,2
492.00,0.1112,2
493.00,0.1112,2
495.00,0.1112,2
495.00,0.1112,2
497.00,0.1112,2
496.00,0.1112,2
497.00,0.1112,2
499.00,0.1112,2
501.00,0.1112,2
495.00,0.1112,2
500.00,0.1112,2
500.00,0.1112,2
498.00,0.1112,2
498.00,0.1112,2
497.00,0.1112,2
489.00,0.1112,2
490.00,0.1112,2
493.00,0.1112,2
491.00,0.1112,2
491.00,0.1112,2
494.00,0.1112,2
491.00,0.1112,2
495.00,0.1112,2
499.00,0.1112,2
494.00,0.1112,2
497.00,0.1112,2
497.00,0.1112,2
504.00,0.1112,2
499.00,0.1112,2
500.00,0.1112,2
501.00,0.1112,2
502.00,0.1112,2
490.00,0.1112,2
492.00,0.1112,2
492.00,0.1112,2
491.00,0.1112,2
494.00,0.1112,2
496.00,0.1112,2
495.00,0.1112,2
496.00,0.1112,2
495.00,0.1112,2
493.00,0.1112,2
497.00,0.1112,2
494.00,0.1112,2
499.00,0.1112,2
503.00,0.1112,2
499.00,0.1112,2
501.00,0.1112,2
501.00,0.1112,2
492.00,0.1112,2
490.00,0.1112,2
489.00,0.1112,2
491.00,0.1112,2
496.00,0.1112,2
497.00,0.1112,2
491.00,0.1112,2
494.00,0.1112,2
498.00,0.1112,2
498.00,0.1112,2
494.00,0.1112,2
501.00,0.1112,2
501.00,0.1112,2
498.00,0.1112,2
495.00,0.1112,2
500.00,0.1112,2
488.00,0.1112,2
492.00,0.1112,2
489.00,0.1112,2
488.00,0.1112,2
493.00,0.1112,2
487.00,0.1112,2
494.00,0.1112,2
492.00,0.1112,2
496.00,0.1112,2
499.00,0.1112,2
501.00,0.1112,2
495.00,0.1112,2
503.00,0.1112,2
502.00,0.1112,2
497.00,0.1112,2
503.00,0.1112,2
501.00,0.1112,2
492.00,0.1112,2
490.00,0.1112,2
491.00,0.1112,2
490.00,0.1112,2
490.00,0.1112,2
492.00,0.1112,2
494.00,0.1112,2
491.00,0.1112,2
496.00,0.1112,2
497.00,0.1112,2
500.00,0.1112,2
493.00,0.1112,2
499.00,0.1112,2
501.00,0.1112,2
502.00,0.1112,2
494.00,0.1112,2
490.00,0.1112,2
490.00,0.1112,2
492.00,0.1112,2
493.00,0.1112,2
491.00,0.1112,2
495.00,0.1112,2
494.00,0.1112,2
493.00,0.1112,2
493.00,0.1112,2
497.00,0.1112,2
501.00,0.1112,2
501.00,0.1112,2
499.00,0.1112,2
497.00,0.1112,2
500.00,0.1112,2
498.00,0.1112,2
498.00,0.1112,2
489.00,0.1112,2
490.00,0.1112,2
490.00,0.1112,2
491.00,0.1112,2
496.00,0.1112,2
494.00,0.1112,2
496.00,0.1112,2
495.00,0.1112,2
494.00,0.1112,2
498.00,0.1112,2
502.00,0.1112,2
499.00,0.1112,2
493.00,0.1112,2
500.00,0.1112,2
499.00,0.1112,2
499.00,0.1112,2
488.00,0.1112,2
492.00,0.1112,2
489.00,0.1112,2
488.00,0.1112,2
494.00,0.1112,2
494.00,0.1112,2
496.00,0.1112,2
495.00,0.1112,2
495.00,0.1112,2
499.00,0.1112,2
